16:31:51:040:273 Monitoring new COM ports...
16:32:37:177:299 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:37:482:283 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:37:786:923 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:38:091:807 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:38:396:987 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:38:701:805 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:39:006:792 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:39:311:646 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:39:616:812 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:39:921:919 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:40:226:851 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:40:531:706 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:40:836:520 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:41:141:352 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:41:446:288 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:41:751:174 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:42:056:093 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:42:360:953 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:42:665:768 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:42:970:688 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:43:275:346 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:43:580:492 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:43:885:377 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:44:191:384 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:44:496:415 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:44:801:098 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:45:106:224 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:45:411:204 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:45:715:838 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:46:020:760 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:46:325:452 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:46:630:275 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:46:934:842 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:47:239:721 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:47:544:648 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:47:849:347 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:48:154:168 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:48:458:972 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:48:763:753 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:49:068:543 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:49:373:371 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:49:678:240 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:49:983:128 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:50:287:931 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:50:592:838 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:50:897:773 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:51:202:778 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
