============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
[STEP] az=43.29 prev_primary=5 action=[2, 5] reward=+0.812
[STEP] az=43.29 prev_primary=2 action=[4, 2] reward=-0.485
[STEP] az=82.57 prev_primary=4 action=[2, 4] reward=+0.747
[STEP] az=84.36 prev_primary=2 action=[4, 1] reward=+0.000
[STEP] az=84.36 prev_primary=4 action=[1, 6] reward=-1.000
[STEP] az=84.36 prev_primary=1 action=[4, 5] reward=+0.000
[STEP] az=128.31 prev_primary=4 action=[5, 2] reward=+0.476
[STEP] az=128.31 prev_primary=5 action=[2, 1] reward=-0.124
[STEP] az=106.55 prev_primary=2 action=[4, 1] reward=+0.000
[STEP] az=106.55 prev_primary=4 action=[3, 1] reward=+0.906
[STEP] az=106.55 prev_primary=3 action=[1, 5] reward=-0.545
[STEP] az=177.37 prev_primary=1 action=[2, 6] reward=-0.124
[STEP] az=239.84 prev_primary=2 action=[6, 1] reward=+0.992
[STEP] az=239.84 prev_primary=6 action=[1, 3] reward=-0.545
[STEP] az=251.68 prev_primary=1 action=[6, 5] reward=-0.008
[STEP] az=120.18 prev_primary=6 action=[2, 1] reward=+0.876
[STEP] az=120.18 prev_primary=2 action=[1, 5] reward=-1.000
[STEP] az=120.18 prev_primary=1 action=[6, 5] reward=+1.327
[STEP] az=93.32 prev_primary=6 action=[4, 3] reward=+2.000
[STEP] az=90.00 prev_primary=4 action=[3, 1] reward=+0.906
[STEP] az=90.00 prev_primary=3 action=[1, 6] reward=-0.545
[STEP] az=133.11 prev_primary=1 action=[2, 6] reward=-0.413
[STEP] az=125.24 prev_primary=2 action=[4, 3] reward=+2.000
[STEP] az=90.00 prev_primary=4 action=[6, 4] reward=-0.008
[STEP] az=39.10 prev_primary=6 action=[3, 1] reward=+0.906
[STEP] az=39.10 prev_primary=3 action=[6, 1] reward=-0.008
[STEP] az=68.45 prev_primary=6 action=[4, 1] reward=+0.000
[STEP] az=68.45 prev_primary=4 action=[1, 2] reward=-0.545
[STEP] az=74.36 prev_primary=1 action=[6, 4] reward=-0.008
[S1] Ep    7/500 | reward=  +0.79 | success=31/50
  cases : leaf_fail=13  primary_fail=6  success=31
  avg   : Rprimary=+0.769(all)  Rangle=-0.739  Rbest=-0.138  R_geom(ref)=+0.122
  total : Rprimary=+38.5  Rangle=-22.9  Rbest=-4.3  R_geom=+6.1
[STEP] az=23.72 prev_primary=4 action=[6, 4] reward=-0.011
[STEP] az=39.73 prev_primary=6 action=[3, 6] reward=-1.000
[STEP] az=39.73 prev_primary=3 action=[1, 3] reward=+0.988
[STEP] az=39.73 prev_primary=1 action=[1, 2] reward=-0.012
[STEP] az=65.57 prev_primary=1 action=[1, 3] reward=+0.988
[STEP] az=65.57 prev_primary=1 action=[1, 4] reward=-0.012
[STEP] az=49.63 prev_primary=1 action=[4, 3] reward=+0.000
[STEP] az=73.66 prev_primary=4 action=[2, 5] reward=+0.383
[STEP] az=73.66 prev_primary=2 action=[2, 5] reward=-0.304
[STEP] az=32.69 prev_primary=2 action=[1, 4] reward=+1.643
[STEP] az=49.46 prev_primary=1 action=[6, 2] reward=-0.011
[STEP] az=14.57 prev_primary=6 action=[4, 3] reward=+1.000
[STEP] az=14.57 prev_primary=4 action=[1, 5] reward=-0.820
[STEP] az=52.17 prev_primary=1 action=[2, 5] reward=-1.124
[STEP] az=32.65 prev_primary=2 action=[2, 3] reward=+0.501
[STEP] az=32.65 prev_primary=2 action=[6, 2] reward=-0.011
